N,CONSTRUCTOR,PU,COLORCODE
HAM,Mercedes,Mercedes,#00d2be
BOT,Mercedes,Mercedes,#00d2be
RIC,McLaren,Mercedes,#ff9800
NOR,McLaren,Mercedes,#ff9800
STR,Aston Martin,Mercedes,#006f62
VET,Aston Martin,Mercedes,#006f62
HUL,Aston Martin,Mercedes,#006f62
RUS,Williams,Mercedes,#005aff
LAT,Williams,Mercedes,#005aff
AIT,Williams,Mercedes,#005aff
NIS,Williams,Mercedes,#005aff
SAI,Ferrari,Ferrari,#dc0004
LEC,Ferrari,Ferrari,#dc0004
RAI,Alfa Romeo,Ferrari,#900000
GIO,Alfa Romeo,Ferrari,#900000
KUB,Alfa Romeo,Ferrari,#900000
ILO,Alfa Romeo,Ferrari,#900000
MSC,Haas,Ferrari,#b0c0e1
MAZ,Haas,Ferrari,#b0c0e1
FIT,Haas,Ferrari,#b0c0e1
SCH,Haas,Ferrari,#b0c0e1
VER,Red Bull,Honda,#0600ef
PER,Red Bull,Honda,#0600ef
ALB,Red Bull,Honda,#0600ef
GAS,AlphaTauri,Honda,#2b4562
TSU,AlphaTauri,Honda,#2b4562
ALO,Alpine,Renault,#0090ff
OCO,Alpine,Renault,#0090ff
ZHO,Alpine,Renault,#0090ff